miRNA_name,evidence
['hsa-mir-487b'],['Unconfirmed']
['hsa-mir-874'],['Unconfirmed']
['hsa-mir-374b'],['Unconfirmed']
['hsa-mir-513c'],['Unconfirmed']
['hsa-mir-331'],['dbDEMC']
['hsa-mir-513b'],['Unconfirmed']
['hsa-mir-378d'],['Unconfirmed']
['hsa-mir-642a'],['Unconfirmed']
['hsa-mir-378e'],['Unconfirmed']
['hsa-mir-301b'],['Unconfirmed']
['hsa-mir-378c'],['Unconfirmed']
['hsa-mir-519a'],['Unconfirmed']
['hsa-mir-622'],['Unconfirmed']
['hsa-mir-378b'],['Unconfirmed']
['hsa-mir-378g'],['Unconfirmed']
['hsa-mir-378h'],['Unconfirmed']
['hsa-mir-378i'],['Unconfirmed']
['hsa-mir-378f'],['Unconfirmed']
['hsa-mir-506'],['Unconfirmed']
['hsa-mir-515'],['Unconfirmed']
['hsa-mir-374a'],['Unconfirmed']
['hsa-mir-516b'],['Unconfirmed']
['hsa-mir-675'],['Unconfirmed']
['hsa-mir-376b'],['Unconfirmed']
['hsa-mir-671'],['Unconfirmed']
['hsa-mir-188'],['dbDEMC']
['hsa-mir-325'],['Unconfirmed']
['hsa-mir-628'],['Unconfirmed']
['hsa-mir-451b'],['Unconfirmed']
['hsa-mir-147b'],['Unconfirmed']
['hsa-mir-548b'],['Unconfirmed']
['hsa-mir-520g'],['Unconfirmed']
['hsa-mir-520f'],['dbDEMC']
['hsa-mir-630'],['Unconfirmed']
['hsa-mir-136'],['Unconfirmed']
['hsa-mir-501'],['Unconfirmed']
['hsa-mir-571'],['Unconfirmed']
['hsa-mir-519b'],['Unconfirmed']
['hsa-mir-596'],['Unconfirmed']
['hsa-mir-640'],['Unconfirmed']
['hsa-mir-548d'],['Unconfirmed']
['hsa-mir-297'],['Unconfirmed']
['hsa-mir-518c'],['Unconfirmed']
['hsa-mir-300'],['Unconfirmed']
['hsa-mir-298'],['Unconfirmed']
['hsa-mir-1280'],['Unconfirmed']
['hsa-mir-411'],['Unconfirmed']
['hsa-mir-510'],['Unconfirmed']
['hsa-mir-661'],['Unconfirmed']
['hsa-mir-561'],['Unconfirmed']
['hsa-mir-384'],['Unconfirmed']
['hsa-mir-598'],['Unconfirmed']
['hsa-mir-1286'],['Unconfirmed']
['hsa-mir-525'],['Unconfirmed']
['hsa-mir-377'],['Unconfirmed']
['hsa-mir-664'],['Unconfirmed']
['hsa-mir-572'],['Unconfirmed']
['hsa-mir-329'],['Unconfirmed']
['hsa-mir-583'],['Unconfirmed']
['hsa-mir-557'],['Unconfirmed']
['hsa-mir-873'],['Unconfirmed']
['hsa-mir-760'],['Unconfirmed']
['hsa-mir-942'],['Unconfirmed']
['hsa-mir-767'],['Unconfirmed']
['hsa-mir-575'],['Unconfirmed']
['hsa-mir-1302'],['Unconfirmed']
['hsa-mir-507'],['Unconfirmed']
['hsa-mir-593'],['Unconfirmed']
['hsa-mir-646'],['Unconfirmed']
['hsa-mir-544a'],['Unconfirmed']
['hsa-mir-642b'],['Unconfirmed']
['hsa-mir-514a'],['Unconfirmed']
['hsa-mir-544b'],['Unconfirmed']
['hsa-mir-632'],['Unconfirmed']
['hsa-mir-655'],['Unconfirmed']
['hsa-mir-922'],['Unconfirmed']
['hsa-mir-658'],['Unconfirmed']
['hsa-mir-1471'],['Unconfirmed']
['hsa-mir-1258'],['Unconfirmed']
['hsa-mir-601'],['Unconfirmed']
['hsa-mir-1915'],['Unconfirmed']
['hsa-mir-200'],['Unconfirmed']
['hsa-mir-505'],['Unconfirmed']
['hsa-mir-624'],['Unconfirmed']
['hsa-mir-569'],['Unconfirmed']
['hsa-mir-451'],['dbDEMC']
['hsa-mir-487a'],['Unconfirmed']
['hsa-mir-1287'],['Unconfirmed']
['hsa-mir-941'],['Unconfirmed']
['hsa-mir-1293'],['Unconfirmed']
['hsa-mir-3148'],['Unconfirmed']
['hsa-mir-189'],['Unconfirmed']
['hsa-mir-190b'],['Unconfirmed']
['hsa-mir-518a'],['Unconfirmed']
['hsa-mir-151'],['Unconfirmed']
['hsa-mir-711'],['Unconfirmed']
['hsa-mir-1181'],['Unconfirmed']
['hsa-mir-648'],['Unconfirmed']
['hsa-mir-1236'],['Unconfirmed']
['hsa-mir-1827'],['Unconfirmed']
['hsa-mir-3151'],['Unconfirmed']
['hsa-mir-548a'],['Unconfirmed']
['hsa-mir-668'],['Unconfirmed']
['hsa-mir-599'],['Unconfirmed']
['hsa-mir-545'],['Unconfirmed']
['hsa-mir-448'],['Unconfirmed']
['hsa-mir-659'],['Unconfirmed']
['hsa-mir-564'],['Unconfirmed']
['hsa-mir-603'],['Unconfirmed']
['hsa-mir-592'],['Unconfirmed']
['hsa-mir-663b'],['Unconfirmed']
['hsa-mir-641'],['Unconfirmed']
['hsa-mir-660'],['Unconfirmed']
['hsa-mir-1266'],['Unconfirmed']
['hsa-mir-552'],['Unconfirmed']
['hsa-mir-1207'],['Unconfirmed']
['hsa-mir-935'],['Unconfirmed']
['hsa-mir-369'],['Unconfirmed']
['hsa-mir-4792'],['Unconfirmed']
['hsa-mir-3196'],['Unconfirmed']
['hsa-mir-511'],['Unconfirmed']
['hsa-mir-548c'],['Unconfirmed']
['hsa-mir-3179'],['Unconfirmed']
['hsa-mir-663'],['Unconfirmed']
['hsa-mir-1183'],['Unconfirmed']
['hsa-mir-1299'],['Unconfirmed']
['hsa-mir-633'],['Unconfirmed']
['hsa-mir-550b'],['Unconfirmed']
['hsa-mir-766'],['Unconfirmed']
['hsa-mir-614'],['Unconfirmed']
['hsa-mir-1254'],['Unconfirmed']
['hsa-mir-758'],['Unconfirmed']
['hsa-mir-1909'],['Unconfirmed']
['hsa-mir-2861'],['Unconfirmed']
['hsa-mir-1275'],['Unconfirmed']
['hsa-mir-1297'],['Unconfirmed']
['hsa-mir-1179'],['Unconfirmed']
['hsa-mir-523'],['dbDEMC']
['hsa-mir-567'],['Unconfirmed']
['hsa-mir-617'],['Unconfirmed']
['hsa-mir-3940'],['Unconfirmed']
['hsa-mir-3163'],['Unconfirmed']
['hsa-mir-944'],['Unconfirmed']
['hsa-mir-1273c'],['Unconfirmed']
['hsa-mir-1227'],['Unconfirmed']
['hsa-mir-1305'],['Unconfirmed']
['hsa-mir-1285'],['Unconfirmed']
['hsa-mir-1322'],['Unconfirmed']
['hsa-mir-1972'],['Unconfirmed']
['hsa-mir-1233'],['Unconfirmed']
['hsa-mir-1229'],['Unconfirmed']
['hsa-mir-1260a'],['Unconfirmed']
['hsa-mir-124a'],['Unconfirmed']
['hsa-mir-769'],['Unconfirmed']
['hsa-mir-1296'],['Unconfirmed']
['hsa-mir-647'],['Unconfirmed']
['hsa-mir-589'],['Unconfirmed']
['hsa-mir-619'],['Unconfirmed']
['hsa-mir-654'],['Unconfirmed']
['hsa-mir-1256'],['Unconfirmed']
['hsa-mir-518e'],['Unconfirmed']
['hsa-mir-616'],['Unconfirmed']
['hsa-mir-582'],['Unconfirmed']
['hsa-mir-521'],['Unconfirmed']
['hsa-mir-635'],['Unconfirmed']
['hsa-mir-1247'],['Unconfirmed']
['hsa-mir-933'],['Unconfirmed']
['hsa-mir-566'],['Unconfirmed']
['hsa-mir-1273a'],['Unconfirmed']
['hsa-mir-611'],['Unconfirmed']
['hsa-mir-662'],['Unconfirmed']
['hsa-mir-600'],['Unconfirmed']
['hsa-mir-1184'],['Unconfirmed']
['hsa-mir-621'],['Unconfirmed']
['hsa-mir-1180'],['Unconfirmed']
['hsa-mir-627'],['Unconfirmed']
['hsa-mir-570'],['Unconfirmed']
['hsa-mir-1228'],['Unconfirmed']
['hsa-mir-551a'],['Unconfirmed']
['hsa-mir-524'],['Unconfirmed']
['hsa-mir-605'],['Unconfirmed']
['hsa-mir-518f'],['Unconfirmed']
['hsa-mir-938'],['Unconfirmed']
['hsa-mir-595'],['Unconfirmed']
['hsa-mir-610'],['Unconfirmed']
['hsa-mir-449c'],['Unconfirmed']
['hsa-mir-4257'],['Unconfirmed']
['hsa-mir-577'],['Unconfirmed']
['hsa-mir-591'],['Unconfirmed']
['hsa-mir-2355'],['Unconfirmed']
['hsa-mir-4306'],['Unconfirmed']
['hsa-mir-718'],['Unconfirmed']
['hsa-mir-1245a'],['Unconfirmed']
['hsa-mir-1469'],['Unconfirmed']
['hsa-mir-1323'],['Unconfirmed']
['hsa-mir-181'],['Unconfirmed']
['hsa-mir-3186'],['Unconfirmed']
['hsa-mir-1245b'],['Unconfirmed']
['hsa-mir-3130'],['Unconfirmed']
