miRNA_name,evidence
['hsa-mir-28'],['Unconfirmed']
['hsa-mir-184'],['Unconfirmed']
['hsa-mir-370'],['Unconfirmed']
['hsa-mir-629'],['Unconfirmed']
['hsa-mir-494'],['miR2Disease']
['hsa-mir-139'],['dbDEMC']
['hsa-mir-148b'],['miR2Disease']
['hsa-mir-301a'],['Unconfirmed']
['hsa-mir-663a'],['Unconfirmed']
['hsa-mir-574'],['Unconfirmed']
['hsa-mir-367'],['Unconfirmed']
['hsa-mir-32'],['Unconfirmed']
['hsa-mir-542'],['Unconfirmed']
['hsa-mir-339'],['Unconfirmed']
['hsa-mir-215'],['Unconfirmed']
['hsa-mir-365a'],['Unconfirmed']
['hsa-mir-134'],['Unconfirmed']
['hsa-mir-625'],['Unconfirmed']
['hsa-mir-423'],['Unconfirmed']
['hsa-mir-452'],['Unconfirmed']
['hsa-mir-449a'],['Unconfirmed']
['hsa-mir-153'],['Unconfirmed']
['hsa-mir-520d'],['Unconfirmed']
['hsa-mir-371a'],['Unconfirmed']
['hsa-mir-186'],['miR2Disease']
['hsa-mir-326'],['Unconfirmed']
['hsa-mir-362'],['Unconfirmed']
['hsa-mir-449b'],['Unconfirmed']
['hsa-mir-381'],['Unconfirmed']
['hsa-mir-208b'],['Unconfirmed']
['hsa-mir-185'],['Unconfirmed']
['hsa-mir-503'],['Unconfirmed']
['hsa-mir-198'],['Unconfirmed']
['hsa-mir-365b'],['Unconfirmed']
['hsa-mir-376c'],['Unconfirmed']
['hsa-mir-520h'],['Unconfirmed']
['hsa-mir-638'],['Unconfirmed']
['hsa-mir-485'],['Unconfirmed']
['hsa-mir-432'],['Unconfirmed']
['hsa-mir-376a'],['Unconfirmed']
['hsa-mir-433'],['Unconfirmed']
['hsa-mir-383'],['Unconfirmed']
['hsa-mir-103b'],['Unconfirmed']
['hsa-mir-187'],['Unconfirmed']
['hsa-mir-324'],['Unconfirmed']
['hsa-mir-520b'],['Unconfirmed']
['hsa-mir-513a'],['Unconfirmed']
['hsa-mir-345'],['Unconfirmed']
['hsa-mir-520c'],['Unconfirmed']
['hsa-mir-520a'],['Unconfirmed']
['hsa-mir-151b'],['Unconfirmed']
['hsa-mir-484'],['Unconfirmed']
['hsa-mir-330'],['Unconfirmed']
['hsa-mir-498'],['miR2Disease']
['hsa-mir-154'],['Unconfirmed']
['hsa-mir-1224'],['Unconfirmed']
['hsa-mir-550a'],['Unconfirmed']
['hsa-mir-421'],['Unconfirmed']
['hsa-mir-495'],['Unconfirmed']
['hsa-mir-216a'],['Unconfirmed']
['hsa-mir-519c'],['Unconfirmed']
['hsa-mir-340'],['Unconfirmed']
['hsa-mir-650'],['Unconfirmed']
['hsa-mir-425'],['Unconfirmed']
['hsa-mir-409'],['Unconfirmed']
['hsa-mir-539'],['Unconfirmed']
['hsa-mir-323a'],['Unconfirmed']
['hsa-mir-337'],['Unconfirmed']
['hsa-mir-216b'],['Unconfirmed']
['hsa-mir-422a'],['Unconfirmed']
['hsa-mir-217'],['Unconfirmed']
['hsa-mir-190a'],['Unconfirmed']
['hsa-mir-509'],['Unconfirmed']
['hsa-mir-520e'],['Unconfirmed']
['hsa-mir-33a'],['Unconfirmed']
['hsa-mir-299'],['Unconfirmed']
['hsa-mir-532'],['Unconfirmed']
['hsa-mir-320c'],['Unconfirmed']
['hsa-mir-361'],['Unconfirmed']
['hsa-mir-519d'],['Unconfirmed']
['hsa-mir-493'],['Unconfirmed']
['hsa-mir-454'],['Unconfirmed']
['hsa-mir-608'],['Unconfirmed']
['hsa-mir-1290'],['Unconfirmed']
['hsa-mir-584'],['Unconfirmed']
['hsa-mir-516a'],['Unconfirmed']
['hsa-mir-488'],['Unconfirmed']
['hsa-mir-517a'],['Unconfirmed']
['hsa-mir-431'],['Unconfirmed']
['hsa-mir-410'],['Unconfirmed']
['hsa-mir-382'],['Unconfirmed']
['hsa-mir-637'],['miR2Disease']
['hsa-mir-652'],['Unconfirmed']
['hsa-mir-346'],['Unconfirmed']
['hsa-mir-590'],['Unconfirmed']
['hsa-mir-33b'],['Unconfirmed']
['hsa-mir-489'],['Unconfirmed']
['hsa-mir-720'],['Unconfirmed']
['hsa-mir-502'],['Unconfirmed']
['hsa-mir-504'],['Unconfirmed']
['hsa-mir-615'],['Unconfirmed']
['hsa-mir-874'],['Unconfirmed']
['hsa-mir-492'],['Unconfirmed']
['hsa-mir-500a'],['Unconfirmed']
['hsa-mir-518b'],['Unconfirmed']
['hsa-mir-512'],['Unconfirmed']
['hsa-mir-374b'],['Unconfirmed']
['hsa-mir-622'],['Unconfirmed']
['hsa-mir-487b'],['Unconfirmed']
['hsa-mir-320d'],['Unconfirmed']
['hsa-mir-1246'],['Unconfirmed']
['hsa-mir-519a'],['Unconfirmed']
['hsa-mir-147a'],['Unconfirmed']
['hsa-mir-301b'],['Unconfirmed']
['hsa-mir-513b'],['Unconfirmed']
['hsa-mir-513c'],['Unconfirmed']
['hsa-mir-506'],['Unconfirmed']
['hsa-mir-642a'],['Unconfirmed']
['hsa-mir-331'],['miR2Disease']
['hsa-mir-516b'],['Unconfirmed']
['hsa-mir-374a'],['Unconfirmed']
['hsa-mir-320b'],['Unconfirmed']
['hsa-mir-515'],['Unconfirmed']
['hsa-mir-378i'],['Unconfirmed']
['hsa-mir-508'],['Unconfirmed']
['hsa-mir-378h'],['Unconfirmed']
['hsa-mir-378g'],['Unconfirmed']
['hsa-mir-378d'],['Unconfirmed']
['hsa-mir-378c'],['Unconfirmed']
['hsa-mir-519e'],['Unconfirmed']
['hsa-mir-378f'],['Unconfirmed']
['hsa-mir-378e'],['Unconfirmed']
['hsa-mir-378b'],['Unconfirmed']
['hsa-mir-526a'],['Unconfirmed']
['hsa-mir-376b'],['Unconfirmed']
['hsa-mir-675'],['Unconfirmed']
['hsa-mir-548b'],['Unconfirmed']
['hsa-mir-188'],['Unconfirmed']
['hsa-mir-671'],['Unconfirmed']
['hsa-mir-628'],['miR2Disease']
['hsa-mir-596'],['Unconfirmed']
['hsa-mir-325'],['Unconfirmed']
['hsa-mir-490'],['Unconfirmed']
['hsa-mir-630'],['Unconfirmed']
['hsa-mir-518c'],['Unconfirmed']
['hsa-mir-636'],['Unconfirmed']
['hsa-mir-451b'],['Unconfirmed']
['hsa-mir-765'],['Unconfirmed']
['hsa-mir-520f'],['Unconfirmed']
['hsa-mir-520g'],['Unconfirmed']
['hsa-mir-147b'],['Unconfirmed']
['hsa-mir-519b'],['Unconfirmed']
['hsa-mir-571'],['Unconfirmed']
['hsa-mir-136'],['dbDEMC']
['hsa-mir-501'],['Unconfirmed']
['hsa-mir-298'],['Unconfirmed']
['hsa-mir-323b'],['Unconfirmed']
['hsa-mir-602'],['Unconfirmed']
['hsa-mir-379'],['Unconfirmed']
['hsa-mir-640'],['Unconfirmed']
['hsa-mir-297'],['Unconfirmed']
['hsa-mir-548d'],['Unconfirmed']
['hsa-mir-411'],['Unconfirmed']
['hsa-mir-300'],['Unconfirmed']
['hsa-mir-510'],['Unconfirmed']
['hsa-mir-202'],['Unconfirmed']
['hsa-mir-1280'],['Unconfirmed']
['hsa-mir-661'],['Unconfirmed']
['hsa-mir-384'],['Unconfirmed']
['hsa-mir-598'],['Unconfirmed']
['hsa-mir-561'],['Unconfirmed']
['hsa-mir-557'],['Unconfirmed']
['hsa-mir-583'],['Unconfirmed']
['hsa-mir-525'],['Unconfirmed']
['hsa-mir-329'],['Unconfirmed']
['hsa-mir-572'],['miR2Disease']
['hsa-mir-377'],['Unconfirmed']
['hsa-mir-575'],['Unconfirmed']
['hsa-mir-1286'],['Unconfirmed']
['hsa-mir-942'],['Unconfirmed']
['hsa-mir-873'],['Unconfirmed']
['hsa-mir-1302'],['Unconfirmed']
['hsa-mir-105'],['Unconfirmed']
['hsa-mir-767'],['Unconfirmed']
['hsa-mir-664'],['Unconfirmed']
['hsa-mir-499b'],['Unconfirmed']
['hsa-mir-612'],['Unconfirmed']
['hsa-mir-657'],['Unconfirmed']
['hsa-mir-922'],['Unconfirmed']
['hsa-mir-632'],['Unconfirmed']
['hsa-mir-526b'],['Unconfirmed']
['hsa-mir-1471'],['Unconfirmed']
['hsa-mir-544a'],['Unconfirmed']
['hsa-mir-544b'],['Unconfirmed']
['hsa-mir-507'],['Unconfirmed']
['hsa-mir-593'],['Unconfirmed']
['hsa-mir-655'],['Unconfirmed']
['hsa-mir-2110'],['Unconfirmed']
['hsa-mir-601'],['Unconfirmed']
['hsa-mir-1303'],['Unconfirmed']
['hsa-mir-658'],['Unconfirmed']
['hsa-mir-642b'],['Unconfirmed']
['hsa-mir-200'],['Unconfirmed']
['hsa-mir-760'],['Unconfirmed']
['hsa-mir-1258'],['Unconfirmed']
['hsa-mir-1249'],['Unconfirmed']
['hsa-mir-646'],['Unconfirmed']
['hsa-mir-514a'],['Unconfirmed']
['hsa-mir-505'],['Unconfirmed']
['hsa-mir-450b'],['Unconfirmed']
['hsa-mir-320e'],['Unconfirmed']
['hsa-mir-450a'],['Unconfirmed']
['hsa-mir-1915'],['Unconfirmed']
['hsa-mir-624'],['Unconfirmed']
['hsa-mir-451'],['dbDEMC']
['hsa-mir-659'],['Unconfirmed']
['hsa-mir-711'],['Unconfirmed']
['hsa-mir-4792'],['Unconfirmed']
['hsa-mir-1207'],['Unconfirmed']
['hsa-mir-151'],['Unconfirmed']
['hsa-mir-545'],['Unconfirmed']
['hsa-mir-1266'],['Unconfirmed']
['hsa-mir-548a'],['Unconfirmed']
['hsa-mir-941'],['Unconfirmed']
['hsa-mir-1827'],['Unconfirmed']
['hsa-mir-189'],['Unconfirmed']
['hsa-mir-668'],['Unconfirmed']
['hsa-mir-1293'],['Unconfirmed']
['hsa-mir-569'],['Unconfirmed']
['hsa-mir-3148'],['Unconfirmed']
['hsa-mir-564'],['Unconfirmed']
['hsa-mir-487a'],['Unconfirmed']
['hsa-mir-592'],['Unconfirmed']
['hsa-mir-548c'],['Unconfirmed']
['hsa-mir-369'],['Unconfirmed']
['hsa-mir-663'],['Unconfirmed']
['hsa-mir-518a'],['Unconfirmed']
['hsa-mir-641'],['Unconfirmed']
['hsa-mir-448'],['Unconfirmed']
['hsa-mir-1236'],['Unconfirmed']
['hsa-mir-1287'],['Unconfirmed']
['hsa-mir-614'],['Unconfirmed']
['hsa-mir-3179'],['Unconfirmed']
['hsa-mir-1181'],['Unconfirmed']
['hsa-mir-648'],['Unconfirmed']
['hsa-mir-1183'],['Unconfirmed']
['hsa-mir-550b'],['Unconfirmed']
['hsa-mir-190b'],['Unconfirmed']
['hsa-mir-599'],['Unconfirmed']
['hsa-mir-660'],['Unconfirmed']
['hsa-mir-1909'],['Unconfirmed']
['hsa-mir-633'],['Unconfirmed']
['hsa-mir-552'],['Unconfirmed']
['hsa-mir-3151'],['Unconfirmed']
['hsa-mir-663b'],['Unconfirmed']
['hsa-mir-935'],['Unconfirmed']
['hsa-mir-3163'],['Unconfirmed']
['hsa-mir-1299'],['Unconfirmed']
['hsa-mir-603'],['Unconfirmed']
['hsa-mir-1254'],['Unconfirmed']
['hsa-mir-1305'],['Unconfirmed']
['hsa-mir-769'],['Unconfirmed']
['hsa-mir-3940'],['Unconfirmed']
['hsa-mir-1260a'],['Unconfirmed']
['hsa-mir-3196'],['Unconfirmed']
['hsa-mir-2861'],['Unconfirmed']
['hsa-mir-654'],['Unconfirmed']
['hsa-mir-662'],['Unconfirmed']
['hsa-mir-611'],['Unconfirmed']
['hsa-mir-600'],['Unconfirmed']
['hsa-mir-511'],['Unconfirmed']
['hsa-mir-1297'],['Unconfirmed']
['hsa-mir-523'],['Unconfirmed']
['hsa-mir-617'],['Unconfirmed']
['hsa-mir-758'],['Unconfirmed']
['hsa-mir-766'],['Unconfirmed']
['hsa-mir-1322'],['Unconfirmed']
['hsa-mir-627'],['Unconfirmed']
['hsa-mir-1273a'],['Unconfirmed']
['hsa-mir-589'],['Unconfirmed']
['hsa-mir-635'],['Unconfirmed']
['hsa-mir-1247'],['Unconfirmed']
['hsa-mir-582'],['Unconfirmed']
['hsa-mir-619'],['Unconfirmed']
['hsa-mir-944'],['Unconfirmed']
['hsa-mir-1227'],['Unconfirmed']
['hsa-mir-1180'],['Unconfirmed']
['hsa-mir-1972'],['Unconfirmed']
['hsa-mir-1184'],['Unconfirmed']
['hsa-mir-1229'],['Unconfirmed']
['hsa-mir-566'],['Unconfirmed']
['hsa-mir-26'],['Unconfirmed']
['hsa-mir-371'],['Unconfirmed']
['hsa-mir-500b'],['Unconfirmed']
['hsa-mir-92'],['Unconfirmed']
['hsa-mir-1234'],['Unconfirmed']
['hsa-mir-1301'],['Unconfirmed']
['hsa-mir-522'],['Unconfirmed']
['hsa-mir-1202'],['Unconfirmed']
['hsa-mir-527'],['Unconfirmed']
['hsa-mir-517c'],['Unconfirmed']
['hsa-mir-1231'],['Unconfirmed']
['hsa-mir-1275'],['Unconfirmed']
['hsa-mir-1179'],['Unconfirmed']
['hsa-mir-1273c'],['Unconfirmed']
['hsa-mir-567'],['Unconfirmed']
['hsa-mir-1296'],['Unconfirmed']
['hsa-mir-124a'],['Unconfirmed']
['hsa-mir-616'],['Unconfirmed']
['hsa-mir-1256'],['Unconfirmed']
['hsa-mir-1233'],['Unconfirmed']
['hsa-mir-1285'],['Unconfirmed']
['hsa-mir-647'],['Unconfirmed']
['hsa-mir-521'],['Unconfirmed']
['hsa-mir-518e'],['Unconfirmed']
['hsa-mir-621'],['Unconfirmed']
['hsa-mir-933'],['Unconfirmed']
['hsa-mir-577'],['Unconfirmed']
['hsa-mir-610'],['Unconfirmed']
['hsa-mir-938'],['Unconfirmed']
['hsa-mir-605'],['Unconfirmed']
['hsa-mir-449c'],['Unconfirmed']
['hsa-mir-518f'],['Unconfirmed']
['hsa-mir-551a'],['Unconfirmed']
['hsa-mir-591'],['Unconfirmed']
['hsa-mir-1228'],['Unconfirmed']
['hsa-mir-570'],['Unconfirmed']
['hsa-mir-595'],['Unconfirmed']
['hsa-mir-524'],['Unconfirmed']
['hsa-mir-4257'],['Unconfirmed']
['hsa-mir-3130'],['Unconfirmed']
['hsa-mir-1323'],['Unconfirmed']
['hsa-mir-1469'],['Unconfirmed']
['hsa-mir-2355'],['Unconfirmed']
['hsa-mir-3186'],['Unconfirmed']
['hsa-mir-4306'],['Unconfirmed']
['hsa-mir-1245b'],['Unconfirmed']
['hsa-mir-1245a'],['Unconfirmed']
['hsa-mir-181'],['Unconfirmed']
['hsa-mir-718'],['Unconfirmed']
